epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.692,2.64522,6.23602,3.70202,0.55666,0.57676,0.60387,0.34262,3.10708,3.07086,4.00497,0.00333114,0.00333114,0.00333114
2,661.804,2.64785,4.19717,3.60522,0.58302,0.55944,0.5714,0.35767,2.67208,2.91536,3.76538,0.00664248,0.00664248,0.00664248
3,986.979,2.88313,4.63958,3.84671,0.34098,0.41067,0.33648,0.149,3.9718,4.72351,5.13171,0.00993182,0.00993182,0.00993182
4,1307.62,2.99165,4.99585,3.95663,0.28173,0.39263,0.32198,0.14996,3.66232,4.3133,4.74032,0.009901,0.009901,0.009901
5,1622.09,2.97055,4.92335,3.89292,0.3578,0.48586,0.38604,0.19905,3.20523,3.67019,4.22457,0.009868,0.009868,0.009868
6,1941.05,2.87158,4.7118,3.82602,0.38582,0.50596,0.40721,0.22187,3.02021,3.62328,4.06763,0.009835,0.009835,0.009835
7,2256.5,2.82763,4.53612,3.74533,0.4171,0.50844,0.44897,0.2587,2.99733,3.50244,4.02535,0.009802,0.009802,0.009802
8,2572.03,2.71247,4.3269,3.6507,0.51445,0.49256,0.51177,0.29991,2.96645,3.13428,4.01343,0.009769,0.009769,0.009769
9,2886.09,2.69036,4.20504,3.62403,0.55223,0.54369,0.57036,0.3262,2.87581,2.90518,3.86816,0.009736,0.009736,0.009736
10,3199.82,2.68327,4.08318,3.62,0.59568,0.56165,0.58248,0.36748,2.70542,2.85327,3.77872,0.009703,0.009703,0.009703
11,3515.29,2.59559,3.9302,3.54645,0.60906,0.50549,0.58175,0.3881,2.40323,2.88067,3.49063,0.00967,0.00967,0.00967
12,3830.85,2.58641,3.86063,3.51637,0.58362,0.53452,0.56257,0.35001,2.80086,2.87949,3.80164,0.009637,0.009637,0.009637
13,4146.06,2.59029,3.80475,3.52633,0.55933,0.52531,0.54084,0.34742,2.66421,2.95309,3.65521,0.009604,0.009604,0.009604
14,4461.32,2.50469,3.6946,3.47424,0.68636,0.56126,0.65192,0.41892,2.45436,2.64685,3.48934,0.009571,0.009571,0.009571
15,4777.22,2.4459,3.56837,3.43618,0.6352,0.63656,0.69111,0.45773,2.37273,2.36906,3.44067,0.009538,0.009538,0.009538
16,5092.23,2.43317,3.52848,3.41289,0.70296,0.62284,0.70651,0.4752,2.25496,2.28849,3.26902,0.009505,0.009505,0.009505
17,5408.62,2.42088,3.4274,3.3746,0.65323,0.65371,0.69616,0.46094,2.43659,2.35453,3.39835,0.009472,0.009472,0.009472
18,5722.82,2.44224,3.42647,3.37331,0.71334,0.62701,0.69998,0.471,2.32472,2.33824,3.30482,0.009439,0.009439,0.009439
19,6037.44,2.39706,3.26861,3.36077,0.75761,0.66584,0.75347,0.52507,2.18441,2.07678,3.14969,0.009406,0.009406,0.009406
20,6352.49,2.36708,3.24977,3.34903,0.76394,0.66278,0.75573,0.49525,2.21459,2.15743,3.25384,0.009373,0.009373,0.009373
21,6668.15,2.35144,3.25423,3.30474,0.74417,0.66351,0.751,0.52442,2.19978,2.13411,3.17881,0.00934,0.00934,0.00934
22,6983.36,2.34034,3.18799,3.30947,0.78424,0.66854,0.77452,0.53948,2.11935,2.08337,3.16511,0.009307,0.009307,0.009307
23,7298.36,2.30901,3.03666,3.27986,0.79547,0.70079,0.78492,0.55222,2.12424,1.87547,3.1416,0.009274,0.009274,0.009274
24,7613.34,2.30757,3.06021,3.27643,0.74759,0.68753,0.75569,0.53072,2.20516,2.09849,3.18911,0.009241,0.009241,0.009241
25,7928.08,2.29032,2.9637,3.24704,0.74251,0.70636,0.77201,0.54913,2.01069,1.99314,3.0463,0.009208,0.009208,0.009208
26,8242.56,2.2869,2.99119,3.24848,0.78749,0.73241,0.81047,0.5656,2.20279,1.80091,3.22639,0.009175,0.009175,0.009175
27,8557.88,2.24117,2.94119,3.21828,0.80866,0.69884,0.78884,0.54934,2.00997,1.89111,3.03204,0.009142,0.009142,0.009142
28,8873.68,2.22705,2.92198,3.1913,0.76836,0.70164,0.80189,0.54998,2.27733,1.77097,3.24951,0.009109,0.009109,0.009109
29,9189.82,2.21386,2.85225,3.19599,0.82086,0.70356,0.81015,0.59156,1.87352,1.74992,2.92065,0.009076,0.009076,0.009076
30,9505.67,2.22118,2.87532,3.19833,0.78816,0.71382,0.78541,0.55791,2.16949,1.77716,3.31551,0.009043,0.009043,0.009043
31,9828.72,2.18034,2.7942,3.15008,0.76941,0.67059,0.76437,0.54334,2.06325,1.95451,3.14604,0.00901,0.00901,0.00901
32,10171.4,2.18571,2.76037,3.16901,0.84625,0.74999,0.83849,0.60127,1.96812,1.65332,2.9675,0.008977,0.008977,0.008977
33,10499.6,2.19266,2.71341,3.16532,0.83179,0.79271,0.85727,0.62103,1.98343,1.5196,2.97154,0.008944,0.008944,0.008944
34,10822.2,2.15355,2.65654,3.1426,0.84097,0.75876,0.83995,0.60894,1.97096,1.57183,2.99671,0.008911,0.008911,0.008911
35,11142.8,2.13847,2.62594,3.13694,0.78102,0.76007,0.82651,0.58217,2.00729,1.66461,3.04833,0.008878,0.008878,0.008878
36,11461,2.12909,2.6499,3.10934,0.8462,0.75579,0.84892,0.59959,2.10707,1.55311,3.12179,0.008845,0.008845,0.008845
37,11781.5,2.08041,2.52771,3.08131,0.79317,0.73331,0.80415,0.57836,1.9518,1.8105,2.95551,0.008812,0.008812,0.008812
38,12099.7,2.11447,2.58267,3.09868,0.80961,0.74703,0.80607,0.58087,1.90837,1.66427,2.9253,0.008779,0.008779,0.008779
39,12415,2.06997,2.58027,3.06885,0.82417,0.759,0.8416,0.61046,1.87034,1.62571,2.91419,0.008746,0.008746,0.008746
40,12732,2.08703,2.57482,3.08416,0.85176,0.78162,0.86391,0.65101,1.82317,1.48374,2.8243,0.008713,0.008713,0.008713
41,13049.1,2.07029,2.51825,3.06373,0.84796,0.78846,0.86479,0.65369,1.77144,1.39965,2.79167,0.00868,0.00868,0.00868
42,13386.6,2.06838,2.51354,3.06522,0.85378,0.77024,0.85368,0.63797,1.8272,1.48219,2.8242,0.008647,0.008647,0.008647
43,13708,2.0718,2.53528,3.07467,0.85079,0.77429,0.85122,0.63748,1.7817,1.50355,2.81362,0.008614,0.008614,0.008614
44,14023.1,2.03656,2.5183,3.03916,0.85725,0.7776,0.86598,0.65564,1.78568,1.42864,2.78957,0.008581,0.008581,0.008581
45,14337.1,2.03408,2.47193,3.04969,0.83507,0.7891,0.87052,0.64589,1.89277,1.38644,2.8505,0.008548,0.008548,0.008548
46,14651.3,2.05507,2.47454,3.0501,0.81582,0.78731,0.85092,0.63579,1.90608,1.47691,2.91445,0.008515,0.008515,0.008515
47,14966.3,2.02882,2.37634,3.01442,0.84512,0.77933,0.8643,0.66044,1.7537,1.43417,2.77374,0.008482,0.008482,0.008482
48,15283.2,2.03766,2.36644,3.01751,0.85478,0.77332,0.86676,0.6357,1.94339,1.43682,2.94619,0.008449,0.008449,0.008449
49,15598.1,1.99729,2.37885,3.00555,0.84685,0.75916,0.85578,0.64856,1.79728,1.53208,2.82496,0.008416,0.008416,0.008416
50,15914.3,2.00946,2.36859,2.98619,0.87449,0.81638,0.87999,0.67366,1.73833,1.36458,2.7547,0.008383,0.008383,0.008383
51,16231.8,1.98606,2.32561,3.01604,0.86195,0.78559,0.86966,0.65906,1.82341,1.39588,2.83008,0.00835,0.00835,0.00835
52,16549.1,1.97755,2.26433,2.98867,0.83634,0.73599,0.83162,0.61858,1.90103,1.65362,2.97409,0.008317,0.008317,0.008317
53,16865.8,1.97536,2.30102,2.95956,0.85274,0.80476,0.87559,0.64619,1.92622,1.39578,2.93502,0.008284,0.008284,0.008284
