epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,445.567,2.71653,6.21404,3.79277,0.60652,0.58971,0.63224,0.36592,2.88943,3.29748,3.77332,0.00333142,0.00333142,0.00333142
2,874.742,2.71897,4.30189,3.69955,0.55609,0.57896,0.57995,0.31946,3.0567,2.94988,4.03699,0.00664276,0.00664276,0.00664276
3,1301.06,2.91094,4.68478,3.90004,0.34049,0.38553,0.28935,0.13396,3.61669,4.89926,4.83184,0.0099321,0.0099321,0.0099321
4,1723.12,3.01011,5.13265,3.97783,0.39079,0.4386,0.36447,0.18234,3.3321,3.86829,4.46122,0.009901,0.009901,0.009901
5,2087.15,2.95768,5.02494,3.93452,0.36799,0.42544,0.34973,0.16479,3.53651,4.37778,4.71187,0.009868,0.009868,0.009868
6,2451.97,2.88251,4.78495,3.87335,0.49409,0.48338,0.47436,0.26782,2.84773,3.35834,3.9287,0.009835,0.009835,0.009835
7,2817.58,2.78755,4.71825,3.79181,0.51417,0.52625,0.53159,0.31865,2.64178,3.06363,3.68732,0.009802,0.009802,0.009802
8,3181.66,2.77188,4.44364,3.72418,0.51498,0.52413,0.51906,0.28025,2.97637,3.20374,3.97256,0.009769,0.009769,0.009769
9,3543.24,2.7216,4.31912,3.69855,0.63058,0.59107,0.61216,0.36868,2.67621,2.72699,3.68404,0.009736,0.009736,0.009736
10,3906.06,2.65885,4.1626,3.64231,0.56205,0.55839,0.56568,0.32995,2.78916,2.80085,3.85069,0.009703,0.009703,0.009703
11,4268.25,2.65674,4.12735,3.6337,0.6315,0.60329,0.63907,0.34156,3.06646,2.64926,4.02341,0.00967,0.00967,0.00967
12,4630.95,2.59054,3.97532,3.58046,0.62995,0.59985,0.64489,0.3922,2.73698,2.58736,3.70759,0.009637,0.009637,0.009637
13,4993.2,2.52662,3.83821,3.5264,0.69493,0.65175,0.7222,0.45471,2.50516,2.32729,3.4654,0.009604,0.009604,0.009604
14,5357.01,2.5324,3.75197,3.52249,0.70402,0.6291,0.69878,0.44023,2.53526,2.30343,3.57679,0.009571,0.009571,0.009571
15,5719.6,2.50036,3.72707,3.49392,0.72856,0.65985,0.72807,0.46571,2.46354,2.19681,3.48823,0.009538,0.009538,0.009538
16,6090.24,2.47928,3.64208,3.46307,0.67585,0.66097,0.70068,0.43136,2.67973,2.28109,3.6722,0.009505,0.009505,0.009505
