File_location,Width,Height,Name_1,Xmin_1,Ymin_1,Xmax_1,Ymax_1,Name_2,Xmin_2,Ymin_2,Xmax_2,Ymax_2,Name_3,Xmin_3,Ymin_3,Xmax_3,Ymax_3,Name_4,Xmin_4,Ymin_4,Xmax_4,Ymax_4,Name_5,Xmin_5,Ymin_5,Xmax_5,Ymax_5,Name_6,Xmin_6,Ymin_6,Xmax_6,Ymax_6,Name_7,Xmin_7,Ymin_7,Xmax_7,Ymax_7,Name_8,Xmin_8,Ymin_8,Xmax_8,Ymax_8,Name_9,Xmin_9,Ymin_9,Xmax_9,Ymax_9,Name_10,Xmin_10,Ymin_10,Xmax_10,Ymax_10,Name_11,Xmin_11,Ymin_11,Xmax_11,Ymax_11,Name_12,Xmin_12,Ymin_12,Xmax_12,Ymax_12,Name_13,Xmin_13,Ymin_13,Xmax_13,Ymax_13,Name_14,Xmin_14,Ymin_14,Xmax_14,Ymax_14,Name_15,Xmin_15,Ymin_15,Xmax_15,Ymax_15,Name_16,Xmin_16,Ymin_16,Xmax_16,Ymax_16,Name_17,Xmin_17,Ymin_17,Xmax_17,Ymax_17,Name_18,Xmin_18,Ymin_18,Xmax_18,Ymax_18,Name_19,Xmin_19,Ymin_19,Xmax_19,Ymax_19,Name_20,Xmin_20,Ymin_20,Xmax_20,Ymax_20
n02132136/n02132136_3533,294,203,brown bear,105,60,225,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n02132136/n02132136_71,600,400,brown bear,309,216,509,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n01748264/n01748264_12567,500,333,Indian cobra,3,47,460,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n02132136/n02132136_1006,300,204,brown bear,89,1,269,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n02117135/n02117135_3530,333,500,hyena,210,250,249,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n02114855/n02114855_2459,450,300,coyote,110,59,422,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
val/ILSVRC2012_val_00044600,338,506,coyote,15,18,336,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
n02132136/n02132136_350,150,150,brown bear,47,19,137,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n01748264/n01748264_9319,500,333,Indian cobra,198,90,479,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n02132136/n02132136_4088,198,162,brown bear,8,13,183,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
