epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,369.689,2.5949,5.53282,3.65089,0.5852,0.64728,0.67895,0.47152,2.52568,2.65519,3.48219,0.00333089,0.00333089,0.00333089
2,727.046,2.61515,4.20977,3.56717,0.61804,0.63874,0.65243,0.364,3.07353,3.0278,4.16566,0.00664773,0.00664773,0.00664773
3,1077.68,2.84467,4.83754,3.80373,0.53267,0.3316,0.3481,0.15377,3.93627,4.80507,5.26667,0.00994807,0.00994807,0.00994807
4,1415.2,3.0006,5.23544,3.9176,0.40953,0.35375,0.38176,0.19984,3.24156,4.25714,4.21668,0.00992575,0.00992575,0.00992575
5,1751.89,2.9158,5.12676,3.83935,0.44182,0.45558,0.41268,0.24497,3.10766,3.82986,4.25811,0.009901,0.009901,0.009901
6,2090.07,2.8062,4.86518,3.74104,0.46785,0.48223,0.49244,0.30094,2.88615,3.63536,3.91789,0.00987625,0.00987625,0.00987625
7,2427.85,2.75898,4.63261,3.67286,0.37661,0.44868,0.38765,0.25337,2.81382,3.60171,3.92767,0.0098515,0.0098515,0.0098515
8,2766.2,2.69707,4.48493,3.62924,0.43235,0.53647,0.53825,0.35327,2.54055,2.98053,3.47779,0.00982675,0.00982675,0.00982675
9,3104.82,2.65394,4.3394,3.54672,0.68035,0.52121,0.6159,0.41988,2.35945,2.82994,3.34991,0.009802,0.009802,0.009802
10,3443.48,2.57777,4.15249,3.50659,0.64636,0.60591,0.66755,0.45964,2.31135,2.74148,3.4677,0.00977725,0.00977725,0.00977725
11,3782.25,2.5736,4.05565,3.50891,0.69871,0.58177,0.6881,0.44491,2.66516,2.58634,3.71385,0.0097525,0.0097525,0.0097525
12,4120.06,2.51739,3.98969,3.45561,0.71324,0.59408,0.67313,0.48165,2.21754,2.5245,3.20582,0.00972775,0.00972775,0.00972775
13,4458.31,2.4652,3.85966,3.41441,0.74688,0.60748,0.66228,0.42856,2.56801,2.50374,3.76567,0.009703,0.009703,0.009703
14,4796.57,2.4669,3.78963,3.4074,0.59422,0.62981,0.65441,0.47274,2.18342,2.57662,3.3033,0.00967825,0.00967825,0.00967825
15,5134.32,2.42313,3.69529,3.37056,0.67682,0.66765,0.71495,0.49371,2.44222,2.33164,3.48039,0.0096535,0.0096535,0.0096535
16,5473.05,2.42072,3.64761,3.35688,0.84144,0.68805,0.79006,0.53784,2.33367,2.03251,3.44291,0.00962875,0.00962875,0.00962875
17,5811.44,2.37203,3.55437,3.33256,0.72606,0.69869,0.75575,0.52055,2.0873,2.13173,3.18681,0.009604,0.009604,0.009604
18,6149.35,2.34156,3.55416,3.31467,0.77855,0.67559,0.75184,0.51844,2.12409,2.23462,3.12891,0.00957925,0.00957925,0.00957925
19,6488.43,2.33705,3.42344,3.29878,0.78,0.73189,0.80397,0.56185,2.22324,1.93266,3.28259,0.0095545,0.0095545,0.0095545
20,6826.69,2.31872,3.40333,3.26539,0.77978,0.72736,0.80959,0.55111,2.35217,2.06065,3.35301,0.00952975,0.00952975,0.00952975
21,7165.77,2.30218,3.33093,3.24085,0.75526,0.71241,0.80178,0.60362,1.97185,1.86703,2.98202,0.009505,0.009505,0.009505
22,7504.09,2.31322,3.33247,3.2733,0.81374,0.71588,0.8055,0.57615,2.06189,1.91174,3.21781,0.00948025,0.00948025,0.00948025
23,7842.22,2.28797,3.27868,3.23653,0.79958,0.80362,0.84471,0.62637,1.95916,1.66405,3.07474,0.0094555,0.0094555,0.0094555
24,8181.54,2.23189,3.18191,3.19152,0.78018,0.82706,0.83351,0.60754,1.87432,1.78499,2.89054,0.00943075,0.00943075,0.00943075
25,8520.86,2.23819,3.14003,3.20147,0.76277,0.76235,0.79852,0.62702,1.77342,1.74196,2.91298,0.009406,0.009406,0.009406
26,8859.13,2.21086,3.11248,3.1917,0.88614,0.71403,0.83591,0.62628,1.81989,1.69206,2.8825,0.00938125,0.00938125,0.00938125
27,9197.82,2.20117,3.0573,3.17032,0.8274,0.73665,0.833,0.64177,1.93751,1.79012,3.0192,0.0093565,0.0093565,0.0093565
28,9536.24,2.19871,3.0477,3.16848,0.88886,0.74247,0.82652,0.66602,1.6489,1.81475,2.73516,0.00933175,0.00933175,0.00933175
29,9874.51,2.17826,3.03772,3.15226,0.82249,0.7519,0.83272,0.64136,1.81543,1.73786,2.86084,0.009307,0.009307,0.009307
30,10212.8,2.158,2.94741,3.13118,0.72872,0.78321,0.80251,0.61214,1.91331,1.72517,2.92357,0.00928225,0.00928225,0.00928225
31,10551.3,2.17802,2.99732,3.14123,0.75098,0.80539,0.82972,0.63479,1.82162,1.64903,2.90159,0.0092575,0.0092575,0.0092575
32,10893.3,2.16347,2.94758,3.12501,0.85647,0.75979,0.84969,0.64287,1.85093,1.61463,2.86627,0.00923275,0.00923275,0.00923275
33,11231.3,2.12377,2.88856,3.09617,0.78387,0.75398,0.83222,0.65757,1.72467,1.72263,2.83948,0.009208,0.009208,0.009208
34,11569,2.09314,2.84809,3.07706,0.83883,0.75727,0.85298,0.64084,1.84113,1.59495,2.86217,0.00918325,0.00918325,0.00918325
35,11907.8,2.105,2.83455,3.09601,0.8527,0.75082,0.81849,0.62451,1.8495,1.81782,2.95918,0.0091585,0.0091585,0.0091585
36,12245.4,2.13025,2.88157,3.10864,0.78918,0.76486,0.81932,0.6396,1.71725,1.66744,2.80704,0.00913375,0.00913375,0.00913375
37,12583.5,2.10709,2.83324,3.08258,0.8813,0.75902,0.85307,0.64471,1.74966,1.59938,2.84909,0.009109,0.009109,0.009109
38,12920.8,2.10266,2.81205,3.08132,0.86183,0.77558,0.8568,0.66709,1.6228,1.61935,2.61854,0.00908425,0.00908425,0.00908425
39,13259.4,2.08562,2.75026,3.05946,0.83918,0.79797,0.85242,0.6378,1.83351,1.51956,2.88708,0.0090595,0.0090595,0.0090595
40,13597.2,2.08047,2.72296,3.06007,0.84905,0.84318,0.89122,0.70159,1.7046,1.53504,2.7263,0.00903475,0.00903475,0.00903475
